Filename,Prompt
Format: Filename.png,"A cinematic 16:9 wide-angle 3D animated scene representing the bible verse: 'Text'. Style: High-quality 3D animation (Pixar/Disney style), warm golden and brown color palette, volumetric lighting, divine atmosphere, peaceful and majestic. Wide shot, detailed background. No text, no words on image, 8k resolution, masterpiece."
isaiah-43-19.png,"A cinematic 16:9 wide-angle 3D animated scene representing the bible verse: 'Behold, I will do a new thing; now it shall spring forth; shall ye not know it? I will even make a way in the wilderness, {and} rivers in the desert.'. Style: High-quality 3D animation (Pixar/Disney style), warm golden and brown color palette, volumetric lighting, divine atmosphere, peaceful and majestic. Wide shot, detailed background. No text, no words on image, 8k resolution, masterpiece."
acts-19-4.png,"A cinematic 16:9 wide-angle 3D animated scene representing the bible verse: 'Then said Paul, John verily baptized with the baptism of repentance, saying unto the people, that they should believe on him which should come after him, that is, on Christ Jesus.'. Style: High-quality 3D animation (Pixar/Disney style), warm golden and brown color palette, volumetric lighting, divine atmosphere, peaceful and majestic. Wide shot, detailed background. No text, no words on image, 8k resolution, masterpiece."
1-chronicles-29-14.png,"A cinematic 16:9 wide-angle 3D animated scene representing the bible verse: 'But who {am} I, and what {is} my people, that we should be able to offer so willingly after this sort? for all things {come} of thee, and of thine own have we given thee. {be able: Heb. retain, or, obtain strength} {of thine...: Heb. of thine hand}'. Style: High-quality 3D animation (Pixar/Disney style), warm golden and brown color palette, volumetric lighting, divine atmosphere, peaceful and majestic. Wide shot, detailed background. No text, no words on image, 8k resolution, masterpiece."
proverbs-18-10.png,"A cinematic 16:9 wide-angle 3D animated scene representing the bible verse: 'The name of the LORD {is} a strong tower: the righteous runneth into it, and is safe. {safe: Heb. set aloft}'. Style: High-quality 3D animation (Pixar/Disney style), warm golden and brown color palette, volumetric lighting, divine atmosphere, peaceful and majestic. Wide shot, detailed background. No text, no words on image, 8k resolution, masterpiece."
2-corinthians-3-17.png,"A cinematic 16:9 wide-angle 3D animated scene representing the bible verse: 'Now the Lord is that Spirit: and where the Spirit of the Lord {is}, there {is} liberty.'. Style: High-quality 3D animation (Pixar/Disney style), warm golden and brown color palette, volumetric lighting, divine atmosphere, peaceful and majestic. Wide shot, detailed background. No text, no words on image, 8k resolution, masterpiece."
daniel-12-10.png,"A cinematic 16:9 wide-angle 3D animated scene representing the bible verse: 'Many shall be purified, and made white, and tried; but the wicked shall do wickedly: and none of the wicked shall understand; but the wise shall understand.'. Style: High-quality 3D animation (Pixar/Disney style), warm golden and brown color palette, volumetric lighting, divine atmosphere, peaceful and majestic. Wide shot, detailed background. No text, no words on image, 8k resolution, masterpiece."
proverbs-16-3.png,"A cinematic 16:9 wide-angle 3D animated scene representing the bible verse: 'Commit thy works unto the LORD, and thy thoughts shall be established. {Commit: Heb. Roll}'. Style: High-quality 3D animation (Pixar/Disney style), warm golden and brown color palette, volumetric lighting, divine atmosphere, peaceful and majestic. Wide shot, detailed background. No text, no words on image, 8k resolution, masterpiece."
2-corinthians-1-5.png,"A cinematic 16:9 wide-angle 3D animated scene representing the bible verse: 'For as the sufferings of Christ abound in us, so our consolation also aboundeth by Christ.'. Style: High-quality 3D animation (Pixar/Disney style), warm golden and brown color palette, volumetric lighting, divine atmosphere, peaceful and majestic. Wide shot, detailed background. No text, no words on image, 8k resolution, masterpiece."
proverbs-4-23.png,"A cinematic 16:9 wide-angle 3D animated scene representing the bible verse: 'Keep thy heart with all diligence; for out of it {are} the issues of life. {with...: Heb. above all keeping}'. Style: High-quality 3D animation (Pixar/Disney style), warm golden and brown color palette, volumetric lighting, divine atmosphere, peaceful and majestic. Wide shot, detailed background. No text, no words on image, 8k resolution, masterpiece."
